Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
PHP Graphics,Programming in HTML and PHP,,,,10.1007/978-3-319-56973-4_9,David R. Brooks,2017,https://link.springer.com/chapter/10.1007/978-3-319-56973-4_9,Chapter
PHP Basics,PHP 7 Zend Certification Study Guide,,,,10.1007/978-1-4842-3246-0_1,Andrew Beak,2017,https://link.springer.com/chapter/10.1007/978-1-4842-3246-0_1,Chapter
Ensuring Military Legal Expertise Within the Netherlands Armed Forces: A Brief History of the Chair for Military Law,Military Operations and the Notion of Control Under International Law,,,,10.1007/978-94-6265-395-5_2,Gert Walgemoed,2021,https://link.springer.com/chapter/10.1007/978-94-6265-395-5_2,Chapter
"Action Pack: Working with Routes, Controllers, and Views",Beginning Rails 6,,,,10.1007/978-1-4842-5716-6_7,Brady SomervilleAdam GambleCloves Carneiro Jr.Rida Al Barazi,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5716-6_7,Chapter
Care of the Suicidal Patient in Pregnancy or During the Postpartum Period,Women's Mood Disorders,,,,10.1007/978-3-030-71497-0_18,Rachel M. Frische,2021,https://link.springer.com/chapter/10.1007/978-3-030-71497-0_18,Chapter
Faith-Based Identities,Religious Voices in the Politics of International Development,,,,10.1007/978-3-030-68964-3_3,Paul J. Nelson,2021,https://link.springer.com/chapter/10.1007/978-3-030-68964-3_3,Chapter
Design Model of Smart “Anganwadi Center” for Health Monitoring,Smart Healthcare Analytics in IoT Enabled Environment,,,,10.1007/978-3-030-37551-5_4,Sasmita ParidaSuvendu Chandan NayakPrasant Kumar PattnaikShams Aijaz SiddiqueSneha KeshriPiyush Priyadarshi,2020,https://link.springer.com/chapter/10.1007/978-3-030-37551-5_4,Chapter
Education in a Leisure-Based Society,Envisioning Education in a Post-Work Leisure-Based Society,,,,10.1007/978-3-030-46373-1_8,Eugene Matusov,2020,https://link.springer.com/chapter/10.1007/978-3-030-46373-1_8,Chapter
System for Monitoring and Warning of the Ultraviolet Radiation Index: A Study Case in Ecuador Elementary Schools,Computational Science and Its Applications – ICCSA 2020,,,,10.1007/978-3-030-58817-5_60,Jorge BueleFrancisco I. ChangoMaría de Los Ángeles ChangoMarlon SantamaríaJosé Varela-Aldás,2020,https://link.springer.com/chapter/10.1007/978-3-030-58817-5_60,Conference paper
Expected Utility Theory and Psychology,Behavioral Decision Theory,,,,10.1007/978-981-16-5453-4_6,Kazuhisa Takemura,2021,https://link.springer.com/chapter/10.1007/978-981-16-5453-4_6,Chapter
Designing Tobacco Genomes for Resistance to Biotic Stresses,Genomic Designing for Biotic Stress Resistant Technical Crops,,,,10.1007/978-3-031-09293-0_10,K. SaralaC. NandaK. BaghyalakshmiReza DarvishzadehK. Prabhakara RaoU. SreedharK. Gangadhara,2022,https://link.springer.com/chapter/10.1007/978-3-031-09293-0_10,Chapter
The Kubol Effect: Shared Governance and Cell Dynamics in an Overcrowded Prison System in the Philippines,The Prison Cell,,,,10.1007/978-3-030-39911-5_4,Raymund E. NaragClarke Jones,2020,https://link.springer.com/chapter/10.1007/978-3-030-39911-5_4,Chapter
Vaccine Policy of the Government of India: Driven and Controlled by Vested Interests?,Universalising Healthcare in India,,,,10.1007/978-981-16-5872-3_13,Jacob Puliyel,2021,https://link.springer.com/chapter/10.1007/978-981-16-5872-3_13,Chapter
Placing the Blame: What If “They” REALLY Are Responsible?,"The COVID Pandemic: Essays, Book Reviews, and Poems",,,,10.1007/978-3-031-19231-9_3,Zhou XunSander Gilman,2022,https://link.springer.com/chapter/10.1007/978-3-031-19231-9_3,Chapter
Nationalism and Terrorism,Politics and Racism Beyond Nations,,,,10.1007/978-3-030-91720-3_3,J. P. Linstroth,2022,https://link.springer.com/chapter/10.1007/978-3-030-91720-3_3,Chapter
The Origin of Etiquette,Historical Etiquette,,,,10.1007/978-3-031-07578-0_4,Annick Paternoster,2022,https://link.springer.com/chapter/10.1007/978-3-031-07578-0_4,Chapter
"Case Study I: The World Health Organisation, by Ana Mulió Álvarez","The Institutional Compass: Method, Use and Scope",,,,10.1007/978-3-031-05453-2_11,Michèle Indira Friend,2022,https://link.springer.com/chapter/10.1007/978-3-031-05453-2_11,Chapter
"Examples from Different Industries, Services, and Continents",Global Supply Chain and Operations Management,,,,10.1007/978-3-030-72331-6_2,Dmitry IvanovAlexander TsipoulanidisJörn Schönberger,2021,https://link.springer.com/chapter/10.1007/978-3-030-72331-6_2,Chapter
Practices of Development,The Power of Parasites,,,,10.1007/978-981-16-6764-0_4,Dalia Iskander,2021,https://link.springer.com/chapter/10.1007/978-981-16-6764-0_4,Chapter
Monitoring the R-Citizen in the Time of COVID-19,Communicating COVID-19,,,,10.1007/978-3-030-79735-5_17,John FloodMonique Lewis,2021,https://link.springer.com/chapter/10.1007/978-3-030-79735-5_17,Chapter
Community Activism (1966–1988),"Irrigation, Salinity, and Rural Communities in Australia's Murray-Darling Basin, 1945–2020",,,,10.1007/978-3-031-18451-2_6,Daniel Rothenburg,2023,https://link.springer.com/chapter/10.1007/978-3-031-18451-2_6,Chapter
Psychoanalysing Technoscience,Continental Philosophy of Technoscience,,,,10.1007/978-3-030-84570-4_4,Hub Zwart,2022,https://link.springer.com/chapter/10.1007/978-3-030-84570-4_4,Chapter
Issues with Medical Genetics and the Law,Medical Genetics and Law,,,,10.1007/978-3-031-78958-8_12,Mair Crouch,2025,https://link.springer.com/chapter/10.1007/978-3-031-78958-8_12,Chapter
Other Situations of Concern,State Responses to Crimes of Genocide,,,,10.1007/978-3-030-99162-3_7,Ewelina U. OchabDavid Alton,2022,https://link.springer.com/chapter/10.1007/978-3-030-99162-3_7,Chapter
Flying Simon Magus: The Motif of Flight in Hagiography and Counter-biography (Ephraim Nissan),Receptions of Simon Magus as an Archetype of the Heretic,,,,10.1007/978-3-031-12523-2_2,Alberto FerreiroEphraim Nissan,2023,https://link.springer.com/chapter/10.1007/978-3-031-12523-2_2,Chapter
"The Nation as a Body or Person in L1 Language Samples from Middle Eastern Countries: Saudi Arabia, Iraq, Algeria, Morocco, Turkey, Israel, Pakistan",National Conceptualisations of the Body Politic,,,,10.1007/978-981-15-8740-5_10,Andreas Musolff,2021,https://link.springer.com/chapter/10.1007/978-981-15-8740-5_10,Chapter
Immigration Law and Policy in Switzerland: Between Restrictive Controls and Freedom of Movement,Law and Migration in a Changing World,,,,10.1007/978-3-319-99508-3_16,Constantin Hruschka,2022,https://link.springer.com/chapter/10.1007/978-3-319-99508-3_16,Chapter
Jakarta Servlets,Java EE to Jakarta EE 10 Recipes,,,,10.1007/978-1-4842-8079-9_1,Josh JuneauTarun Telang,2022,https://link.springer.com/chapter/10.1007/978-1-4842-8079-9_1,Chapter
Update in Adolescent Medicine,Update in Pediatrics,,,,10.1007/978-3-031-41542-5_1,Najiba KeshwaniLauren BretzAsha DavidsonJulia DuranteGinny Claire Kim,2023,https://link.springer.com/chapter/10.1007/978-3-031-41542-5_1,Chapter
Virtualizing the ‘Good Life’: Reworking Narratives of Agrarianism and the Rural Idyll in a Computer Game,Social Innovation and Sustainability Transition,,,,10.1007/978-3-031-18560-1_16,Lee-Ann Sutherland,2022,https://link.springer.com/chapter/10.1007/978-3-031-18560-1_16,Chapter
Water Quality Restoration and Reclamation,Sustainable Solutions for Urban Water Security,,,,10.1007/978-3-030-53110-2_4,Binaya Kumar MishraShamik ChakrabortyPankaj KumarChitresh Saraswat,2020,https://link.springer.com/chapter/10.1007/978-3-030-53110-2_4,Chapter
"Memory, History and Itihaas: Ambedkar and Gandhi",The Ambedkar–Gandhi Debate,,,,10.1007/978-981-16-8686-3_2,Bindu Puri,2022,https://link.springer.com/chapter/10.1007/978-981-16-8686-3_2,Chapter
"Marcel Duchamp, the Bride and the French Flag on the Great War Battlefield","Flags, Color, and the Legal Narrative",,,,10.1007/978-3-030-32865-8_30,Christine Vial Kayser,2021,https://link.springer.com/chapter/10.1007/978-3-030-32865-8_30,Chapter
On Utopia,Utopias in Nonfiction Film,,,,10.1007/978-3-030-79823-9_2,Simon Spiegel,2021,https://link.springer.com/chapter/10.1007/978-3-030-79823-9_2,Chapter
Ambassadors of Filipino Care,Recuperating The Global Migration of Nurses,,,,10.1007/978-3-030-44580-5_7,Cleovi C. Mosuela,2020,https://link.springer.com/chapter/10.1007/978-3-030-44580-5_7,Chapter
Gaining Access: Attack and Defense Methods and Legacy Systems,Cyberwarfare,,,,10.1007/978-3-030-97299-8_4,Kristan Stoddart,2022,https://link.springer.com/chapter/10.1007/978-3-030-97299-8_4,Chapter
Digital Transformation in a Globalized World,Global Technology Management 4.0,,,,10.1007/978-3-030-96929-5_14,Pratim Milton Datta,2022,https://link.springer.com/chapter/10.1007/978-3-030-96929-5_14,Chapter
The Church’s Contribution to Combating Trafficking in West Africa,A West African Model to Address Human Trafficking,,,,10.1007/978-3-030-88120-7_12,Paul V. I. Sidlawinde Karenga,2022,https://link.springer.com/chapter/10.1007/978-3-030-88120-7_12,Chapter
Animals in Crisis,The Case for the Legal Protection of Animals,,,,10.1007/978-3-031-46065-4_2,Kimberly C. Moore,2023,https://link.springer.com/chapter/10.1007/978-3-031-46065-4_2,Chapter
The Role of the Small Business Within the Economy,Small Business Management,,,,10.1007/978-981-13-9509-3_1,Tim MazzarolSophie Reboud,2020,https://link.springer.com/chapter/10.1007/978-981-13-9509-3_1,Chapter
"A Youth Between Defeat and Liberation, 1806–1830",Prussian Conservatism 1815-1856,,,,10.1007/978-3-030-81070-2_2,Laura Claudia Achtelstetter,2021,https://link.springer.com/chapter/10.1007/978-3-030-81070-2_2,Chapter
Portable and Mobile System Connected to a Web Application for the Measurement of Air Quality in the City of Bogotá Associated with Particulate Matter and Meteorological Variables,Applied Computer Sciences in Engineering,,,,10.1007/978-3-030-61834-6_34,Daniel Santiago Becerra CasasCarlos Felipe Reyes BelloJuan Sebastian Rubiano LabradorOscar Arnulfo Fajardo Montaña,2020,https://link.springer.com/chapter/10.1007/978-3-030-61834-6_34,Conference paper
Running Your Site with a Certificate from a Certificate Authority,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_9,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_9,Chapter
(In)visible Women and (Anti)-trafficking,Paved with Good Intentions?,,,,10.1007/978-981-13-3239-5_5,Sallie Yea,2020,https://link.springer.com/chapter/10.1007/978-981-13-3239-5_5,Chapter
Communication and Culture: A Multispecies Endeavour Recognising Kinship with Multiple Species,From Polarisation to Multispecies Relationships,,,,10.1007/978-981-33-6884-2_1,Janet J. McIntyre-Mills,2021,https://link.springer.com/chapter/10.1007/978-981-33-6884-2_1,Chapter
Creating a Dynamic Content Web Site,Web-Based Projects that Rock the Class,,,,10.1007/978-1-4842-4463-0_7,Christos Karayiannis,2019,https://link.springer.com/chapter/10.1007/978-1-4842-4463-0_7,Chapter
Littoral Salt Marshes on the Eastern Coast of the Iberian Peninsula,Handbook of Halophytes,,,,10.1007/978-3-030-17854-3_20-1,Pilar SorianoIsabel Martínez-SolísJosefa Prieto-MossiMaría Isabel Martínez-Nieto,2020,https://link.springer.com/rwe/10.1007/978-3-030-17854-3_20-1,Living reference work entry
"Evaluating COVID-19 Testing, Infection, Mortality, Treatment, and Vaccines","Pandemic Police Power, Public Health and the Abolition Question",,,,10.1007/978-3-030-93031-8_5,Tryon P. Woods,2022,https://link.springer.com/chapter/10.1007/978-3-030-93031-8_5,Chapter
MySQL Database System,Systems Programming in Unix/Linux,,,,10.1007/978-3-319-92429-8_14,K. C. Wang,2018,https://link.springer.com/chapter/10.1007/978-3-319-92429-8_14,Chapter
"Tightening Repression: Increasing Involvement, Surveillance and Detention",Everyday Communists in South Africa’s Liberation Struggle,,,,10.1007/978-3-030-83921-5_4,Alan Kirkaldy,2022,https://link.springer.com/chapter/10.1007/978-3-030-83921-5_4,Chapter
Minorities Under Attack in Pakistan,Minorities and Populism – Critical Perspectives from South Asia and Europe,,,,10.1007/978-3-030-34098-8_12,Christophe Jaffrelot,2020,https://link.springer.com/chapter/10.1007/978-3-030-34098-8_12,Chapter
"Coastal Development: Resilience, Restoration and Infrastructure Requirements",The Blue Compendium,,,,10.1007/978-3-031-16277-0_7,Andy StevenKwasi Appeaning AddoGhislaine LlewellynVu Thanh CaIsaac BoatengRodrigo BustamanteChristopher DoropoulosChris GilliesMark HemerPriscila LopesJames KairoMunsur RahmanLalao Aigrette RavaoarinorotsihoaranaMegan SaundersU. Rashid SumailaFrida SidikLouise TehMat VanderkliftMaria Vozzo,2023,https://link.springer.com/chapter/10.1007/978-3-031-16277-0_7,Chapter
Advanced Regular Expressions,Pro Perl Programming,,,,10.1007/978-1-4842-5605-3_2,William “Bo” Rothwell,2020,https://link.springer.com/chapter/10.1007/978-1-4842-5605-3_2,Chapter
Going to Mars,The Politics and Perils of Space Exploration,,,,10.1007/978-3-030-56835-1_5,Linda Dawson,2021,https://link.springer.com/chapter/10.1007/978-3-030-56835-1_5,Chapter
"E-cigarettes: The Technology, the Market, and the Practice of Vaping","Tobacco Regulation, Economics, and Public Health, Volume I",,,,10.1007/978-3-031-41312-4_3,Samuel C. Hampsher-MonkJames E. PriegerSudhanshu Patwardhan,2024,https://link.springer.com/chapter/10.1007/978-3-031-41312-4_3,Chapter
Development and Developmental Disorders of the Forebrain,Clinical Neuroembryology,,,,10.1007/978-3-031-26098-8_9,Hans J. ten DonkelaarMartin LammensJohannes R. M. CruysbergKarin Kamphuis-van UlzenAkira HoriKohei ShiotaKyoko ItohMichèl Willemsen,2023,https://link.springer.com/chapter/10.1007/978-3-031-26098-8_9,Chapter
Arrays,Beginning PHP and MySQL,,,,10.1007/978-1-4302-6044-8_5,Frank M. Kromann,2018,https://link.springer.com/chapter/10.1007/978-1-4302-6044-8_5,Chapter
The Carillon,Handbook of Materials for Percussion Musical Instruments,,,,10.1007/978-3-030-98650-6_10,Voichita Bucur,2022,https://link.springer.com/chapter/10.1007/978-3-030-98650-6_10,Chapter
Create Web Pages That Interact with Users,"Practical PHP 7, MySQL 8, and MariaDB Website Databases",,,,10.1007/978-1-4842-3843-1_2,Adrian W. WestSteve Prettyman,2018,https://link.springer.com/chapter/10.1007/978-1-4842-3843-1_2,Chapter
"Psychosocial Factors Associated with Death Penalty: Impact on Families of Victims, Families of Defendants and the “Others”",The Death Penalty,,,,10.1007/978-981-15-3129-3_5,Sanjeev P. SahniMohita Junnarkar,2020,https://link.springer.com/chapter/10.1007/978-981-15-3129-3_5,Chapter
Becoming Worldwide: Transdisciplinary Ways of Collaborations in Philosophy and the Arts – A Case Study,The Future of Education and Labor,,,,10.1007/978-3-030-26068-2_12,Arno Böhler,2019,https://link.springer.com/chapter/10.1007/978-3-030-26068-2_12,Chapter
Creating Desktop Applications,Raku Recipes,,,,10.1007/978-1-4842-6258-0_13,J. J. Merelo,2020,https://link.springer.com/chapter/10.1007/978-1-4842-6258-0_13,Chapter
The Hyphy Discourse (2000–2010),Rap and Politics,,,,10.1057/978-1-137-60011-0_4,Lavar Pope,2020,https://link.springer.com/chapter/10.1057/978-1-137-60011-0_4,Chapter
Climate Information Services and Their Potential on Adaptation and Mitigation: Experiences from Flood Affected Regions in Bangladesh,Handbook of Climate Services,,,,10.1007/978-3-030-36875-3_24,Muhammad Abdur RahamanMijanur Rahman BijoyTapas Ranjan ChakrabortyA. S. M. Imrul KayesMuhammad Arifur RahmanWalter Leal Filho,2020,https://link.springer.com/chapter/10.1007/978-3-030-36875-3_24,Chapter
Contemporary World Perspectives on Nonkilling Peace,The Nonkilling Paradigm,,,,10.1007/978-981-15-1247-6_6,Katyayani SinghAnoop Swarup,2020,https://link.springer.com/chapter/10.1007/978-981-15-1247-6_6,Chapter
A Pervasive IoT Scheme to Vehicle Overspeed Detection and Reporting Using MQTT Protocol,ICT for a Better Life and a Better World,,,,10.1007/978-3-030-10737-6_2,Elie NasrElie KfouryDavid Khoury,2019,https://link.springer.com/chapter/10.1007/978-3-030-10737-6_2,Chapter
What Happens to the Healthy Immigrant Later in Life? – The Health of (Forced) Migrants Through the Life Course,Health in Diversity – Diversity in Health,,,,10.1007/978-3-658-29177-8_6,Andrea Goettler,2020,https://link.springer.com/chapter/10.1007/978-3-658-29177-8_6,Chapter
Bulimia Nervosa,Adolescent Nutrition,,,,10.1007/978-3-030-45103-5_15,Michaela VossAmber Brust,2020,https://link.springer.com/chapter/10.1007/978-3-030-45103-5_15,Chapter
"Music, Dance, Festivals, and Associations",A Cultural History of Spanish Speakers in Japan,,,,10.1007/978-3-030-64488-8_4,Araceli Tinajero,2021,https://link.springer.com/chapter/10.1007/978-3-030-64488-8_4,Chapter
Methodology,Women in the Kurdish Family,,,,10.1007/978-3-658-30862-9_5,Sabahat Ölcer,2020,https://link.springer.com/chapter/10.1007/978-3-658-30862-9_5,Chapter
The Life and Death of Software Ecosystems,Towards Engineering Free/Libre Open Source Software (FLOSS) Ecosystems for Impact and Sustainability,,,,10.1007/978-981-13-7099-1_6,Raula Gaikovina KulaGregorio Robles,2019,https://link.springer.com/chapter/10.1007/978-981-13-7099-1_6,Chapter
Higher Education,Gender Innovation and Migration in Switzerland,,,,10.1007/978-3-030-01626-5_5,Francesca Falk,2019,https://link.springer.com/chapter/10.1007/978-3-030-01626-5_5,Chapter
Distance as Othering: US Images of Conflict Inside and Outside the Homeland,"Navigating War, Dissent and Empathy in Arab/U.S Relations",,,,10.1007/978-3-030-76747-1_3,Osman Latiff,2021,https://link.springer.com/chapter/10.1007/978-3-030-76747-1_3,Chapter
The Swiss Army Gendarmerie: A Composite Force Facing the Challenges of the First World War,European Police Forces and Law Enforcement in the First World War,,,,10.1007/978-3-030-26102-3_14,Philippe Hebeisen,2019,https://link.springer.com/chapter/10.1007/978-3-030-26102-3_14,Chapter
Covid-19 Diary,The Science and Politics of Covid-19,,,,10.1007/978-3-030-77864-4_2,Michel Claessens,2021,https://link.springer.com/chapter/10.1007/978-3-030-77864-4_2,Chapter
"Oikonomia: On Metaphor, Science, and Natural Order","More Heat than Life: The Tangled Roots of Ecology, Energy, and Economics",,,,10.1007/978-981-15-3936-7_2,Jeremy Walker,2020,https://link.springer.com/chapter/10.1007/978-981-15-3936-7_2,Chapter
Heavy Water and the Atomic Bomb,The Scientific World of Karl-Friedrich Bonhoeffer,,,,10.1007/978-3-319-95801-9_9,Kathleen L. Housley,2019,https://link.springer.com/chapter/10.1007/978-3-319-95801-9_9,Chapter
Linking NbS with Water Management: A Case of South Megacities,Nature-based Solutions for Resilient Ecosystems and Societies,,,,10.1007/978-981-15-4712-6_7,Chandra Bhushan KumarSonali Ghosh,2020,https://link.springer.com/chapter/10.1007/978-981-15-4712-6_7,Chapter
Creating Notions of Transculturality: The Work of Fernando Ortiz and his Impact on Europe,World Literature and the Postcolonial,,,,10.1007/978-3-662-61785-4_5,Dagmar Reichardt,2020,https://link.springer.com/chapter/10.1007/978-3-662-61785-4_5,Chapter
The Next 7000 Programming Languages,Computing and Software Science,,,,10.1007/978-3-319-91908-9_15,Robert ChatleyAlastair DonaldsonAlan Mycroft,2019,https://link.springer.com/chapter/10.1007/978-3-319-91908-9_15,Chapter
Computer Tools Increasing the Quality of the Evidence Information Received During the Investigation of Road-Transport Crimes,Creativity in Intelligent Technologies and Data Science,,,,10.1007/978-3-030-29750-3_27,Taulan BozievSergei KolotushkinYuriy BokovDmitry VasilevMikhail Pavlik,2019,https://link.springer.com/chapter/10.1007/978-3-030-29750-3_27,Conference paper
The Trauma of (Post)Memory: Women’s Memories in Holocaust Cinema,European Cinema in the Twenty-First Century,,,,10.1007/978-3-030-33436-9_6,Ingrid Lewis,2020,https://link.springer.com/chapter/10.1007/978-3-030-33436-9_6,Chapter
"Revolutions 1916/1917: Lynd, War Issues, the ITGWU","Bernard Shaw, Sean O’Casey, and the Dead James Connolly",,,,10.1007/978-3-030-74274-4_3,Nelson O’Ceallaigh Ritschel,2021,https://link.springer.com/chapter/10.1007/978-3-030-74274-4_3,Chapter
"Feeling Safe, Defining Crime and Urban Youth in Berlin’s Inner City: An Exploration of the Construction of ‘Unsafety’ and ‘Youth’ as Symbolic Violence",Inequality and Uncertainty,,,,10.1007/978-981-32-9162-1_9,Talja BloklandVojin Šerbedžija,2020,https://link.springer.com/chapter/10.1007/978-981-32-9162-1_9,Chapter
Placing the Irish Diaspora in Place and Time in Europe,An Anthropology of the Irish in Belgium,,,,10.1007/978-3-030-24147-6_4,Sean O’ Dubhghaill,2020,https://link.springer.com/chapter/10.1007/978-3-030-24147-6_4,Chapter
The United Nations Security Council and Power Politics,States Undermining International Law,,,,10.1007/978-3-030-64789-6_5,Deepak Mawar,2021,https://link.springer.com/chapter/10.1007/978-3-030-64789-6_5,Chapter
Survey Methods,Empirical Social Research,,,,10.1007/978-3-658-37907-0_6,Michael Häder,2022,https://link.springer.com/chapter/10.1007/978-3-658-37907-0_6,Chapter
"IoT Physical Layer: Sensors, Actuators, Controllers and Programming",The Era of Internet of Things,,,,10.1007/978-3-030-18133-8_2,Khaled Salah Mohamed,2019,https://link.springer.com/chapter/10.1007/978-3-030-18133-8_2,Chapter
Passenger Pigeon and Waterfowl: Flights to Extinction and Not,Diet for a Sustainable Ecosystem,,,,10.1007/978-3-030-45481-4_9,Benjamin E. Cuker,2020,https://link.springer.com/chapter/10.1007/978-3-030-45481-4_9,Chapter
The Principle of Sharpening (II): Crystallization. Development and Advancement of Musical Shapes,Music and Fuzzy Logic,,,,10.1007/978-3-662-62907-9_6,Hanns-Werner Heister,2021,https://link.springer.com/chapter/10.1007/978-3-662-62907-9_6,Chapter
Trauma and Its Trajectory in Criminal Behaviors: Case Study Exercise Assignments,Assessing Trauma in Forensic Contexts,,,,10.1007/978-3-030-33106-1_21,Rafael Art. JavierElizabeth A. OwenJemour A. Maddux,2020,https://link.springer.com/chapter/10.1007/978-3-030-33106-1_21,Chapter
Job Disruption,AI Battle Royale,,,,10.1007/978-3-031-19278-4_6,Ashley Marc Recanati,2023,https://link.springer.com/chapter/10.1007/978-3-031-19278-4_6,Chapter
"Human Rights-based Approach to Environmental Protection: Kenyan, South African and Nigerian Constitutional Architecture and Experience",Human Rights and the Environment under African Union Law,,,,10.1007/978-3-030-46523-0_15,Collins Odote,2020,https://link.springer.com/chapter/10.1007/978-3-030-46523-0_15,Chapter
Factory Planning and Process Design,Global Supply Chain and Operations Management,,,,10.1007/978-3-030-72331-6_9,Dmitry IvanovAlexander TsipoulanidisJörn Schönberger,2021,https://link.springer.com/chapter/10.1007/978-3-030-72331-6_9,Chapter
Seizing the Wheel,The Scientific World of Karl-Friedrich Bonhoeffer,,,,10.1007/978-3-319-95801-9_7,Kathleen L. Housley,2019,https://link.springer.com/chapter/10.1007/978-3-319-95801-9_7,Chapter
Popular Resistance at the Origin of the National Movement,Cinema and the Algerian War of Independence,,,,10.1007/978-3-030-37994-0_2,Ahmed Bedjaoui,2020,https://link.springer.com/chapter/10.1007/978-3-030-37994-0_2,Chapter
The Indispensable Nation?,A Democratic Foreign Policy,,,,10.1007/978-3-030-21519-4_2,Richard Ned Lebow,2020,https://link.springer.com/chapter/10.1007/978-3-030-21519-4_2,Chapter
CUSTODY: An IoT Based Patient Surveillance Device,Proceedings of the Future Technologies Conference (FTC) 2018,,,,10.1007/978-3-030-02686-8_18,Md. Sadad MahamudMd. Manirul IslamMd. Saniat RahmanSamiul Haque Suman,2019,https://link.springer.com/chapter/10.1007/978-3-030-02686-8_18,Conference paper
Kerr’s Ghost: The Office of Governor-General in Australia After 1975,Viceregalism,,,,10.1007/978-3-030-46283-3_11,Mark McKenna,2020,https://link.springer.com/chapter/10.1007/978-3-030-46283-3_11,Chapter
Nicotiana tabacum L.: Tobacco,"Medicinal, Aromatic and Stimulant Plants",,,,10.1007/978-3-030-38792-1_9,Ramsey S. Lewis,2020,https://link.springer.com/chapter/10.1007/978-3-030-38792-1_9,Chapter
Phenolics: A Game Changer in the Life Cycle of Plants,Plant Phenolics in Sustainable Agriculture,,,,10.1007/978-981-15-4890-1_11,Nasir Aziz WagayRafiq LoneShah RafiqSheikh Ummar Bashir,2020,https://link.springer.com/chapter/10.1007/978-981-15-4890-1_11,Chapter
"Kaleidoscoping Centennial Memories (2012–23) in Glasnevin Cemetery, Dublin",Places of Memory and Legacies in an Age of Insecurities and Globalization,,,,10.1007/978-3-030-60982-5_7,Gerry O’Reilly,2020,https://link.springer.com/chapter/10.1007/978-3-030-60982-5_7,Chapter
Urban Development,Modern TRIZ Modeling in Master Programs,,,,10.1007/978-3-030-37417-4_6,Michael A. Orloff,2020,https://link.springer.com/chapter/10.1007/978-3-030-37417-4_6,Chapter
Middleware for Multi-robot Systems,Mission-Oriented Sensor Networks and Systems: Art and Science,,,,10.1007/978-3-319-92384-0_18,Yuvraj SahniJiannong CaoShan Jiang,2019,https://link.springer.com/chapter/10.1007/978-3-319-92384-0_18,Chapter
Operational Activity and Connections,Jihadist Infiltration of Migrant Flows to Europe,,,,10.1007/978-3-030-13338-2_4,Sam Mullins,2019,https://link.springer.com/chapter/10.1007/978-3-030-13338-2_4,Chapter
Right Intention,Lead with Heart in Mind,,,,10.1007/978-3-030-17028-8_4,Joan Marques,2019,https://link.springer.com/chapter/10.1007/978-3-030-17028-8_4,Chapter
Geopolitics of the Coronavirus,The Science and Politics of Covid-19,,,,10.1007/978-3-030-77864-4_3,Michel Claessens,2021,https://link.springer.com/chapter/10.1007/978-3-030-77864-4_3,Chapter
The Carbon Cycle,Climate Change and Renewable Energy,,,,10.1007/978-3-030-15424-0_3,Martin J. Bush,2020,https://link.springer.com/chapter/10.1007/978-3-030-15424-0_3,Chapter
Phase 2: ADP (Analyze/Design/Plan),HYPERID - A Hybrid Methodology for Project Management and Product Development,,,,10.1007/978-3-662-66968-6_4,Arash Parsania,2024,https://link.springer.com/chapter/10.1007/978-3-662-66968-6_4,Chapter
Discourses on Zakat and Its Implementation in Contemporary Ghana,Muslim Faith-Based Organizations and Social Welfare in Africa,,,,10.1007/978-3-030-38308-4_10,Holger Weiss,2020,https://link.springer.com/chapter/10.1007/978-3-030-38308-4_10,Chapter
Finishing the Game,Learning C# by Programming Games,,,,10.1007/978-3-662-59252-6_26,Wouter van TollArjan EggesJeroen D. Fokker,2019,https://link.springer.com/chapter/10.1007/978-3-662-59252-6_26,Chapter
A Sustainable and Equitable Blue Recovery to the COVID-19 Crisis,The Blue Compendium,,,,10.1007/978-3-031-16277-0_19,Eliza NorthropManaswita KonarNicola FrostElizabeth Hollaway,2023,https://link.springer.com/chapter/10.1007/978-3-031-16277-0_19,Chapter
Health Inequity in the Philippines,"Disease, Human Health, and Regional Growth and Development in Asia",,,,10.1007/978-981-13-6268-2_8,Miann S. BanaagManuel M. DayritRonald U. Mendoza,2019,https://link.springer.com/chapter/10.1007/978-981-13-6268-2_8,Chapter
"Different Legacies, Common Pressures, and Converging Institutions: The Politics of Muslim Integration in Austria and Germany",The Palgrave Handbook of Ethnicity,,,,10.1007/978-981-13-2898-5_156,Ryosuke Amiya-Nakada,2019,https://link.springer.com/rwe/10.1007/978-981-13-2898-5_156,Reference work entry
Digitization 2.0: A New Game Begins,Towards Digital Enlightenment,,,,10.1007/978-3-319-90869-4_18,Dirk Helbing,2019,https://link.springer.com/chapter/10.1007/978-3-319-90869-4_18,Chapter
"Different Legacies, Common Pressures, and Converging Institutions: The Politics of Muslim Integration in Austria and Germany",The Palgrave Handbook of Ethnicity,,,,10.1007/978-981-13-0242-8_156-1,Ryosuke Amiya-Nakada,2019,https://link.springer.com/rwe/10.1007/978-981-13-0242-8_156-1,Living reference work entry
"Elaborations, Developments, Justifications",Iceberg Semantics for Mass Nouns and Count Nouns,,,,10.1007/978-3-030-42711-5_11,Fred Landman,2020,https://link.springer.com/chapter/10.1007/978-3-030-42711-5_11,Chapter
